coaster_name,Location,Status,Manufacturer,year_introduced,Type_Main,latitude,longitude,speed_mph,height_ft,Inversions_clean,Gforce_clean
Coaster_1,Carowinds,Removed,Mack Rides,2023,Wood,35.0907,-80.9432,56.5,113.1,0,3.2
Coaster_2,Busch Gardens Williamsburg,Operating,Great Coasters International,1986,Steel,37.1977,-76.6608,56.9,85.1,2,3.7
Coaster_3,Cedar Point,Operating,Arrow Dynamics,1975,Steel,41.461,-82.6808,37.3,82.8,1,3.6
Coaster_4,Busch Gardens Williamsburg,Operating,Rocky Mountain Construction,1975,Steel,37.2394,-76.6528,52.7,67.4,2,5.1
Coaster_5,Silver Dollar City,Operating,Rocky Mountain Construction,2005,Steel,36.7069,-93.3246,71.5,137.8,3,2.8
Coaster_6,Knott's Berry Farm,Removed,Arrow Dynamics,1995,Steel,33.8759,-117.9634,51.1,113.5,1,3.6
Coaster_7,Silver Dollar City,Operating,Arrow Dynamics,1980,Wood,36.6698,-93.3439,27.1,75.3,0,4.4
Coaster_8,Silver Dollar City,Operating,Arrow Dynamics,1993,Steel,36.674,-93.3017,44.6,106.7,1,4.1
Coaster_9,Cedar Point,Operating,Vekoma,1991,Steel,41.4789,-82.6702,48.8,71.5,3,5.6
Coaster_10,Silver Dollar City,Operating,S&S - Sansei Technologies,1979,Steel,36.6687,-93.3556,42.0,75.4,2,2.1
Coaster_11,Hersheypark,Operating,Rocky Mountain Construction,2005,Steel,40.3171,-76.6327,55.8,99.5,0,3.3
Coaster_12,Silver Dollar City,Removed,Philadelphia Toboggan Coasters,2023,Steel,36.6748,-93.3553,70.0,109.8,0,2.8
Coaster_13,Hersheypark,Operating,Intamin,1985,Wood,40.2795,-76.654,36.8,52.2,0,3.2
Coaster_14,Six Flags Over Texas,Removed,Bolliger & Mabillard,1975,Steel,32.7675,-97.0605,42.3,97.0,0,3.4
Coaster_15,Six Flags Great Adventure,Closed,Great Coasters International,2023,Steel,40.1824,-74.4711,74.0,145.9,1,4.5
Coaster_16,Kennywood,Operating,Mack Rides,2000,Steel,40.4012,-79.8566,51.4,90.6,1,2.9
Coaster_17,Carowinds,Removed,Rocky Mountain Construction,1993,Steel,35.1382,-80.9208,56.3,74.9,1,4.2
Coaster_18,Six Flags Over Texas,Removed,Vekoma,1977,Steel,32.7728,-97.0852,46.3,80.9,1,2.8
Coaster_19,Six Flags Over Texas,Operating,Intamin,1992,Steel,32.7415,-97.0353,53.2,95.6,3,2.9
Coaster_20,Kennywood,Operating,Rocky Mountain Construction,2000,Steel,40.3965,-79.8772,61.5,107.0,1,4.3
Coaster_21,Silver Dollar City,Removed,Vekoma,2000,Steel,36.6783,-93.346,63.8,99.7,3,3.9
Coaster_22,Six Flags Great Adventure,Removed,Premier Rides,1987,Wood,40.1209,-74.4396,36.2,69.2,0,3.1
Coaster_23,Six Flags Magic Mountain,Removed,Rocky Mountain Construction,2001,Steel,34.4344,-118.6025,54.2,118.2,4,3.6
Coaster_24,Dollywood,Operating,Vekoma,1994,Steel,35.7857,-83.5554,52.6,73.5,0,2.9
Coaster_25,Six Flags Great Adventure,Removed,Mack Rides,1990,Steel,40.1754,-74.4388,57.1,84.5,4,2.5
Coaster_26,Cedar Point,Operating,Bolliger & Mabillard,1975,Steel,41.4875,-82.6508,43.4,67.3,2,3.8
Coaster_27,Six Flags Magic Mountain,Removed,S&S - Sansei Technologies,2009,Wood,34.4055,-118.6044,59.6,96.1,0,3.9
Coaster_28,Kennywood,Closed,Intamin,1997,Steel,40.3935,-79.8422,63.0,95.6,4,1.7
Coaster_29,Six Flags Over Texas,Operating,S&S - Sansei Technologies,2002,Steel,32.807,-97.0603,45.8,122.0,0,2.8
Coaster_30,Six Flags Over Texas,Operating,Great Coasters International,2005,Steel,32.7452,-97.0807,59.5,116.6,7,3.6
Coaster_31,Kings Island,Closed,Arrow Dynamics,2019,Wood,39.333,-84.2744,61.6,101.7,0,1.6
Coaster_32,Busch Gardens Williamsburg,Operating,Rocky Mountain Construction,1977,Steel,37.2534,-76.6452,45.5,66.9,1,2.2
Coaster_33,Six Flags Over Texas,Operating,Premier Rides,2012,Wood,32.7624,-97.078,47.3,82.4,0,5.1
Coaster_34,Kings Island,Operating,Rocky Mountain Construction,1985,Wood,39.3282,-84.2368,36.1,110.6,0,5.5
Coaster_35,Knott's Berry Farm,Operating,Premier Rides,2007,Wood,33.8498,-118.036,53.0,92.2,0,2.7
Coaster_36,Six Flags Great Adventure,Operating,Great Coasters International,2012,Steel,40.1274,-74.4386,64.2,104.9,1,4.3
Coaster_37,Six Flags Great Adventure,Operating,Premier Rides,1994,Steel,40.1486,-74.4324,59.5,103.9,4,2.9
Coaster_38,Hersheypark,Operating,Vekoma,2013,Wood,40.2859,-76.648,51.3,103.1,0,3.4
Coaster_39,Six Flags Magic Mountain,Operating,Premier Rides,1984,Steel,34.4577,-118.5893,42.8,92.4,0,4.6
Coaster_40,Kennywood,Operating,Arrow Dynamics,1976,Steel,40.3765,-79.8674,40.2,50.8,2,2.5
Coaster_41,Knott's Berry Farm,Operating,Vekoma,2019,Wood,33.8955,-117.9633,55.0,118.6,0,3.1
Coaster_42,Six Flags Magic Mountain,Operating,Intamin,2013,Steel,34.426,-118.6066,60.1,128.4,1,3.3
Coaster_43,Carowinds,Operating,Great Coasters International,2009,Steel,35.0448,-80.9341,57.3,,1,3.1
