InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536000,21212,,2,2011-10-26 09:55:00,0.57,15573.0,Belgium
536001,21212,PACK OF 72 RETRO SPOT CAKE CASES,10,2011-07-25 12:34:00,0.51,15462.0,United Kingdom
536002,47566,PARTY BUNTING,1,2011-10-13 14:43:00,4.91,15601.0,United Kingdom
536003,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-12-06 13:14:00,2.8,15524.0,United Kingdom
536004,21754,HOME BUILDING BLOCK WORD,24,2011-05-28 11:01:00,6.48,15628.0,United Kingdom
536005,71053,WHITE METAL LANTERN,1,2011-12-02 14:17:00,3.08,15457.0,United Kingdom
536006,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-11-27 10:08:00,3.01,15092.0,United Kingdom
536007,22629,SPACEBOY LUNCH BOX,4,2011-12-03 12:54:00,1.95,15710.0,United Kingdom
536008,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-04-25 09:04:00,2.47,15609.0,United Kingdom
536009,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2011-10-11 09:39:00,0.51,15669.0,EIRE
536010,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2010-12-11 08:49:00,4.62,15665.0,United Kingdom
536011,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2011-05-06 15:17:00,4.65,15015.0,United Kingdom
536012,71053,WHITE METAL LANTERN,1,2011-11-27 17:43:00,3.27,15060.0,United Kingdom
536013,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-10-23 10:12:00,3.96,15247.0,United Kingdom
536014,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-10-27 14:11:00,2.45,15796.0,United Kingdom
536015,POST,POSTAGE,3,2011-09-13 16:09:00,16.75,15451.0,United Kingdom
536016,47566,PARTY BUNTING,2,2011-08-18 13:19:00,4.7,15200.0,United Kingdom
536017,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-10-11 08:48:00,4.24,15655.0,United Kingdom
536018,21212,PACK OF 72 RETRO SPOT CAKE CASES,2,2011-11-22 08:00:00,0.6,15004.0,United Kingdom
536019,71053,WHITE METAL LANTERN,1,2011-06-12 17:21:00,3.49,15468.0,United Kingdom
